               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08256,             0.03246,                   0,                 0.3,             0.23998,             0.18235,            0.064855,            0.064539,            0.017385,                   0,            0.070036,           0.0033293,           0.0033293
                   1,            0.057763,            0.033761,                   0,             0.52352,             0.44405,             0.44733,             0.17873,             0.05419,            0.015336,                   0,            0.038717,           0.0053435,           0.0053435
                   2,             0.05206,            0.031796,                   0,             0.60004,             0.51086,             0.53016,             0.22316,            0.049152,            0.014734,                   0,           0.0060776,           0.0060376,           0.0060376
                   3,            0.047645,            0.030815,                   0,             0.62819,             0.54997,             0.58188,             0.25538,            0.046571,            0.014397,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.045569,              0.0302,                   0,             0.67098,             0.55356,             0.59058,             0.26683,            0.046903,            0.014368,                   0,             0.00406,             0.00406,             0.00406
