               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12133,            0.037011,                   0,           0.0033333,                0.25,           0.0044485,           0.0016415,            0.084679,            0.026792,                   0,                 0.1,                   0,                   0
                   1,             0.12409,            0.034055,                   0,           0.0033333,                0.25,           0.0024169,          0.00024169,            0.084682,            0.027514,                   0,             0.09908,            8.02e-05,            8.02e-05
                   2,              0.1251,             0.03126,                   0,           0.0033333,                0.25,           0.0023227,          0.00023227,            0.084513,            0.027259,                   0,            0.098121,           0.0001208,           0.0001208
                   3,             0.12616,            0.034553,                   0,           0.0033333,                0.25,           0.0022749,          0.00022749,            0.084413,            0.026987,                   0,            0.097122,           0.0001218,           0.0001218
                   4,             0.12319,            0.034614,                   0,           0.0033333,                0.25,            0.002235,           0.0002235,            0.084133,            0.026752,                   0,            0.096083,            8.32e-05,            8.32e-05
