               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12294,            0.037112,                   0,           0.0016667,                0.25,           0.0020097,           0.0012025,            0.080986,            0.027413,                   0,                 0.1,                   0,                   0
                   1,               0.127,            0.033701,                   0,                   0,                   0,                   0,                   0,            0.082374,            0.028392,                   0,             0.09905,            5.05e-05,            5.05e-05
