               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078273,            0.035448,                   0,             0.21883,             0.17464,             0.12395,            0.042482,            0.062933,            0.018098,                   0,            0.070036,           0.0033293,           0.0033293
                   1,            0.054771,            0.035301,                   0,             0.45935,             0.40849,              0.4118,              0.1669,            0.049042,            0.016342,                   0,            0.038717,           0.0053435,           0.0053435
                   2,            0.048873,            0.033313,                   0,             0.43271,             0.42763,             0.38566,             0.15455,            0.047935,            0.016203,                   0,           0.0060776,           0.0060376,           0.0060376
                   3,            0.045177,            0.032196,                   0,             0.57977,             0.52313,             0.52346,             0.21949,            0.044812,            0.015513,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.043499,             0.03146,                   0,             0.66906,             0.56829,             0.60832,             0.25492,            0.044257,            0.015067,                   0,             0.00406,             0.00406,             0.00406
